155.56,11.16,1.00
147.60,9.54,1.00
149.28,8.54,2.00
150.20,8.87,2.00
147.75,8.92,1.00
149.83,67.26,2.00
91.50,9.21,2.00
149.72,11.43,2.00
146.97,9.35,1.00
149.38,13.34,1.00
145.45,8.79,3.00
150.07,9.31,2.00
149.38,8.97,1.00
149.88,8.74,2.00
149.94,8.50,2.00
150.16,8.79,2.00
149.86,10.29,2.00
148.46,9.21,1.00
149.64,10.35,2.00
148.45,9.89,1.00
148.88,9.10,1.00
149.21,9.07,1.00
149.71,8.72,2.00
148.21,9.23,2.00
149.57,9.09,1.00
149.68,9.97,2.00
148.82,8.68,1.00
149.85,9.42,1.00
149.39,10.27,2.00
148.40,11.66,3.00
146.91,9.38,1.00
149.34,9.00,1.00
149.65,8.67,2.00
150.10,8.52,2.00
150.28,10.84,1.00
147.52,8.94,2.00
149.98,72.66,2.00
85.93,9.11,1.00
149.74,9.50,1.00
150.32,61.12,1.00
96.37,9.46,1.00
149.23,8.49,2.00
151.39,44.81,2.00
272.43,8.72,2.00
157.40,29.74,2.00
121.72,9.08,1.00
150.11,23.05,1.00
134.65,8.42,1.00
150.21,8.38,1.00
151.39,10.70,1.00
151.07,8.43,2.00
150.44,8.56,2.00
150.21,8.77,1.00
150.07,8.99,1.00
147.98,14.15,2.00
145.58,38.43,1.00
119.28,9.86,2.00
148.93,9.47,1.00
149.32,8.90,1.00
229.50,9.04,2.00
149.76,10.49,2.00
148.14,9.06,2.00
149.78,9.06,1.00
149.72,8.87,2.00
150.03,8.69,2.00
150.14,9.14,1.00
149.29,9.02,2.00
149.83,11.21,2.00
147.54,9.19,1.00
149.56,8.74,1.00
150.08,8.36,2.00
150.35,8.21,1.00
150.54,8.32,2.00
148.99,8.77,2.00
149.89,10.31,2.00
148.45,9.53,1.00
149.07,16.98,2.00
141.72,9.56,2.00
149.11,9.20,2.00
149.86,8.81,2.00
149.67,8.76,2.00
150.02,8.77,1.00
150.04,9.30,1.00
149.43,9.48,1.00
